,date,aircraft,helicopter,tank,APC,field artillery,MRL,drone,naval ship,anti-aircraft warfare,military auto
0,2022-02,29,29,150,816,74,21,3,2,5,291
1,2022-03,135,131,614,1735,311,96,83,7,54,1201
2,2022-04,190,155,1008,2445,436,151,232,8,77,1701
3,2022-05,208,174,1358,3302,649,207,515,13,93,2275
4,2022-06,217,185,1573,3726,790,246,641,14,104,2602
5,2022-07,223,190,1763,4004,916,259,735,15,117,2902
6,2022-08,234,204,1974,4312,1091,285,849,15,152,3236
7,2022-09,264,225,2338,4932,1391,333,1003,15,176,3768
8,2022-10,266,235,2486,5133,1477,348,1086,15,180,3890
